ID,PT,FREQ,SYMBOL,NAME,FREQ_REAL,SYMBOL_REAL,COMMENT
645,038E,11134,1450,,,,
646,038E,11137,2500,,,,
647,038E,11140,1200,,,,
648,038E,11143,1300,,,,
649,038E,11147,1850,,,,
650,038E,11150,1190,,,,
651,038E,11153,1600,,,,
652,038E,11159,1000,,,,
653,038E,11167,1350,,,,
654,038E,11170,1250,,,,
655,038E,11174,1600,,,,
656,038E,11176,1200,,,,
657,038E,11178,2000,,,,
658,038E,11181,1650,,,,
659,038E,11183,1850,,,,
660,038E,11185,2000,,,,
661,038E,11187,1850,,,,
662,038E,11189,1849,,,,
663,038E,11192,2000,,,,
664,038E,12508,2000,,,,
665,038E,12514,2000,,,,
666,038E,12517,2000,,,,
667,038E,12527,2000,,,,
668,038E,12528,2000,,,,
669,038E,12530,1666,,,,
670,038E,12536,2400,,,,
671,038E,12583,1300,,,,
672,038E,12620,1200,,,,
673,038E,12669,4800,,,,
674,038E,12675,1450,,,,
675,038E,12677,1300,,,,
676,038E,12680,1300,,,,
677,038E,12686,1300,,,,
678,038E,12692,3333,,,,
679,038E,12696,3333,,,,
680,038E,12718,5200,,,,
681,036E,10996,18000,,,,
682,036E,11018,18000,,,,
683,036E,11075,2700,,,,
684,036E,11105,3333,,,,
685,036E,11111,1903,,,,
686,036E,11127,7053,,,,
687,036E,11221,30000,,,,
688,036E,11221,30000,,,,
689,036E,11262,34250,,,,
690,036E,11263,30000,,,,
691,036E,11304,30000,,,,
692,036E,11304,20000,,,,
693,036E,11345,30000,,,,
694,036E,11346,30000,,,,
695,036E,11387,30000,,,,
696,036E,11387,30000,,,,
697,036E,11428,34250,,,,
698,036E,11429,30000,,,,
699,036E,11459,7200,,,,
700,036E,11473,30000,,,,
701,036E,11484,3700,,,,
702,036E,11503,3810,,,,
703,036E,11508,2800,,,,
704,036E,11518,7070,,,,
705,036E,11521,10832,,,,
706,036E,11542,6582,,,,
707,036E,11551,25000,,,,
708,036E,11556,3333,,,,
709,036E,11560,3182,,,,
710,036E,11566,4900,,,,
711,036E,11569,5714,,,,
712,036E,11569,3200,,,,
713,036E,11583,10332,,,,
714,036E,11586,2171,,,,
715,036E,11590,3000,,,,
716,036E,11594,2500,,,,
717,036E,11598,1750,,,,
718,036E,11605,8840,,,,
719,036E,11605,5127,,,,
720,036E,11625,5572,,,,
721,036E,11634,1800,,,,
722,036E,11640,1800,,,,
723,036E,11642,25762,,,,
724,036E,11650,10000,,,,
725,036E,11679,3200,,,,
726,036E,11727,29335,,,,
727,036E,11727,27500,,,,
728,036E,11747,27500,,,,
729,036E,11747,27500,,,,
730,036E,11766,27500,,,,
731,036E,11785,27500,,,,
732,036E,11804,27500,,,,
733,036E,11804,26650,,,,
734,036E,11823,27500,,,,
735,036E,11843,27500,,,,
736,036E,11843,29335,,,,
737,036E,11862,27500,,,,
738,036E,11862,27500,,,,
739,036E,11881,27500,,,,
740,036E,11881,27500,,,,
741,036E,11900,27500,,,,
742,036E,11900,27500,,,,
743,036E,11919,27500,,,,
744,036E,11938,27500,,,,
745,036E,11958,27500,,,,
746,036E,11958,27500,,,,
747,036E,11977,27500,,,,
748,036E,11996,27500,,,,
749,036E,12015,27500,,,,
750,036E,12034,27500,,,,
751,036E,12054,27500,,,,
752,036E,12073,27500,,,,
753,036E,12092,27500,,,,
754,036E,12111,27500,,,,
755,036E,12130,27500,,,,
756,036E,12149,27500,,,,
757,036E,12149,27500,,,,
758,036E,12169,27500,,,,
759,036E,12174,4340,,,,
760,036E,12188,27500,,,,
761,036E,12190,22500,,,,
762,036E,12207,27500,,,,
763,036E,12207,27500,,,,
764,036E,12226,27500,,,,
765,036E,12226,27500,,,,
766,036E,12245,27500,,,,
767,036E,12265,27500,,,,
768,036E,12265,27500,,,,
769,036E,12284,27500,,,,
770,036E,12284,27500,,,,
771,036E,12303,27500,,,,
772,036E,12303,27500,,,,
773,036E,12322,27500,,,,
774,036E,12322,27500,,,,
775,036E,12341,27500,,,,
776,036E,12341,27500,,,,
777,036E,12360,27500,,,,
778,036E,12360,27500,,,,
779,036E,12380,27500,,,,
780,036E,12380,27500,,,,
781,036E,12399,27500,,,,
782,036E,12399,27500,,,,
783,036E,12418,27500,,,,
784,036E,12418,27500,,,,
785,036E,12437,27500,,,,
786,036E,12440,27500,,,,
787,036E,12456,27500,,,,
788,036E,12476,27500,,,,
789,036E,12476,27500,,,,
790,036E,12509,7200,,,,
791,036E,12524,5667,,,,
792,036E,12574,1667,,,,
793,036E,12619,61190,,,,
794,036E,12641,1880,,,,
795,036E,12675,767,,,,
796,036E,12677,2000,,,,
797,036E,12683,18000,,,,
798,036E,12691,1110,,,,
799,036E,12695,4750,,,,
800,036E,12734,2729,,,,
801,036E,12741,4166,,,,
802,036E,19726,46960,,,,
803,036E,19764,22000,,,,
804,036E,19766,26935,,,,
805,036E,19818,66985,,,,
806,036E,19916,57260,,,,
807,036E,19960,22000,,,,
808,036E,20015,66985,,,,
809,036E,20089,66985,,,,
810,033E,10727,42727,,,,
811,033E,10796,30000,,,,
812,033E,10883,10380,,,,
813,033E,10955,4800,,,,
814,033E,10958,7200,,,,
815,033E,10962,4800,,,,
816,033E,10965,7200,,,,
817,033E,10968,4800,,,,
818,033E,10974,4800,,,,
819,033E,10991,28800,,,,
820,033E,11022,8888,,,,
821,033E,11080,2500,,,,
822,033E,11083,17500,,,,
823,033E,11083,9600,,,,
824,033E,11086,15000,,,,
825,033E,11090,7500,,,,
826,033E,11095,9600,,,,
827,033E,11098,4800,,,,
828,033E,11104,6862,,,,
829,033E,11108,3167,,,,
830,033E,11110,5535,,,,
831,033E,11123,7200,,,,
832,033E,11130,4800,,,,
833,033E,11133,4800,,,,
834,033E,11137,9600,,,,
835,033E,11145,7500,,,,
836,033E,11149,9600,,,,
837,033E,11166,2400,,,,
838,033E,11167,4444,,,,
839,033E,11170,8890,,,,
840,033E,11170,4800,,,,
841,033E,11173,4444,,,,
842,033E,11175,4800,,,,
843,033E,11179,9600,,,,
844,033E,11182,4800,,,,
845,033E,11187,4800,,,,
846,033E,11191,9600,,,,
847,033E,11194,4800,,,,
848,033E,11212,9600,,,,
849,033E,11476,7500,,,,
850,033E,11572,4680,,,,
851,033E,11579,4680,,,,
852,033E,11608,3820,,,,
853,033E,11610,4680,,,,
854,033E,11617,4680,,,,
855,033E,11648,7200,,,,
856,033E,11652,4444,,,,
857,033E,11660,9598,,,,
858,033E,11662,15000,,,,
859,033E,12504,5000,,,,
860,033E,12507,2500,,,,
861,033E,12510,9600,,,,
862,033E,12513,4800,,,,
863,033E,12517,2222,,,,
864,033E,12521,4800,,,,
865,033E,12524,3600,,,,
866,033E,12526,9600,,,,
867,033E,12527,4800,,,,
868,033E,12533,703,,,,
869,033E,12534,7200,,,,
870,033E,12536,9600,,,,
871,033E,12539,30000,,,,
872,033E,12542,7144,,,,
873,033E,12544,7200,,,,
874,033E,12555,3818,,,,
875,033E,12558,3820,,,,
876,033E,12563,5000,,,,
877,033E,12566,14400,,,,
878,033E,12569,5000,,,,
879,033E,12572,3750,,,,
880,033E,12577,30000,,,,
881,033E,12582,7500,,,,
882,033E,12585,14400,,,,
883,033E,12587,8888,,,,
884,033E,12591,7200,,,,
885,033E,12603,9600,,,,
886,033E,12716,7200,,,,
887,033E,12726,7200,,,,
888,033E,12745,4800,,,,
889,031E,10974,27500,,,,
890,031E,10983,5000,,,,
891,031E,10986,7500,,,,
892,031E,10992,2500,,,,
893,031E,10992,2222,,,,
894,031E,11030,2500,,,,
895,031E,11037,2500,,,,
896,031E,11040,2500,,,,
897,031E,11043,2500,,,,
898,031E,11046,2500,,,,
899,031E,11047,10000,,,,
900,031E,11067,10000,,,,
901,031E,11068,6500,,,,
902,031E,11135,30000,,,,
903,031E,11515,30000,,,,
904,031E,11515,30000,,,,
905,031E,11554,28330,,,,
906,031E,11580,7744,,,,
907,031E,11630,15000,,,,
908,031E,11661,15000,,,,
909,031E,11688,1200,,,,
910,030E,3744,20000,,,,
911,030E,3848,37428,,,,
912,030E,3900,38000,,,,
913,030E,3912,45000,,,,
914,030E,3946,1000,,,,
915,030E,3948,3650,,,,
916,030E,3976,16200,,,,
917,030E,3992,9091,,,,
